event_id,vehicles,seed,frame,task_class,scheme,access,compute,deadline_ms,dt_update_latency_ms,tx_ms,path_ms,queue_ms,service_ms,deadline_met,dt_age_ms,position_error_m,rounds,rejections,verifier_accepted,fallback,proposal_conflict,decision_wall_ms,tool_calls,api_calls,input_tokens,output_tokens,sum_api_latency_ms
n50_s2027_e6,50,2027,173,safety,One-Shot LLM,ground,ground0,150.0,17811.901,17659.191,6.329,123.565,22.815,False,10941.189,2.475652,1,0,False,False,False,1025.397,0,1,575,21,1025.233
n50_s2027_e6,50,2027,173,safety,Single Domain,leo,sat0,150.0,310.031,75.873,26.533,206.484,1.141,False,10941.189,2.475652,1,0,False,False,False,1065.07,1,1,267,19,1064.944
n50_s2028_e1,50,2028,29,routine,AAI-CDOS,leo,sat0,1000.0,322.752,105.957,26.474,189.171,1.149,True,322.752,0.264052,1,0,True,False,False,2398.227,6,4,1683,88,4143.374
n50_s2028_e1,50,2028,29,routine,Independent Agents,ground,ground0,1000.0,41255.926,41057.048,6.27,169.622,22.986,False,10716.859,8.767753,1,0,False,False,True,1007.852,3,3,989,60,2911.274
n50_s2028_e1,50,2028,29,routine,One-Shot LLM,ground,ground0,1000.0,41255.926,41057.048,6.27,169.622,22.986,False,10716.859,8.767753,1,0,False,False,False,1031.489,0,1,575,21,1031.306
n50_s2028_e1,50,2028,29,routine,Single Domain,leo,sat0,1000.0,322.752,105.957,26.474,189.171,1.149,True,322.752,0.264052,1,0,False,False,False,1203.011,1,1,267,19,1202.885
n50_s2028_e2,50,2028,64,safety,AAI-CDOS,uav,sat0,150.0,591.005,525.115,26.938,37.794,1.158,False,10729.437,72.485064,3,3,False,True,False,8469.264,14,12,6940,273,15708.28
n50_s2028_e2,50,2028,64,safety,Independent Agents,uav,sat0,150.0,591.005,525.115,26.938,37.794,1.158,False,10729.437,72.485064,1,0,False,False,True,1250.794,3,3,1037,61,3242.067
n50_s2028_e2,50,2028,64,safety,One-Shot LLM,ground,ground0,150.0,17996.652,17929.402,6.734,37.352,23.164,False,10729.437,72.485064,1,0,False,False,False,6590.3,0,1,575,21,6590.139
n50_s2028_e2,50,2028,64,safety,Single Domain,uav,uav0,150.0,1304.995,525.115,7.734,0.0,772.145,False,10729.437,72.485064,1,0,False,False,False,1442.209,1,1,267,20,1442.081
