scheme,vehicles,seed,frames,window_start,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine
One-Shot LLM,10,2042,180,170,1800,0.8427777777777777,0.4913493360356111,4.789799622889583,2.0967934284382936,51.987240913631126,1.0,0.0,0.0,0.018316976881275576,760.0,135.0,0.6418732782369146,0.8866886688668867,0.9053030303030303
AAI-CDOS,10,2043,180,64,1800,0.9938888888888889,0.09747256149679363,0.1820649757401413,0.16075027172652354,1.558574716080739,1.0122222222222221,0.012222222222222223,6.055,0.009774199376503626,845.8733333333333,86.03888888888889,0.9694444444444444,1.0,1.0
Single Domain,10,2043,180,64,1800,0.45055555555555554,0.7835214727498333,2.148306370346687,19.779899149512964,327.6596545206936,1.0,0.0,1.0,0.0016409968439903525,0.0,0.0,0.2388888888888889,0.37316798196166856,0.7124773960216998
Independent Agents,10,2043,180,64,1800,0.8494444444444444,0.20666085163166992,0.3174724408412041,2.125840711431063,55.701263510424354,1.0,0.0,4.0,0.0076500059933298165,0.0,0.0,0.3055555555555556,0.9763246899661782,1.0
One-Shot LLM,10,2043,180,64,1800,0.8977777777777778,0.3315937769271379,0.809712685464383,1.384041515988422,13.627430247353217,1.0,0.0,0.0,0.0184363455304669,760.0,135.0,0.7416666666666667,0.9278466741826381,0.9511754068716094
AAI-CDOS,10,2044,180,163,1800,0.9955555555555555,0.09676761572174153,0.1766178659186298,0.14333136742606084,1.5172785550112817,1.008888888888889,0.008888888888888889,6.04,0.009718849323689938,845.3066666666666,85.75555555555556,0.9770114942528736,1.0,1.0
Single Domain,10,2044,180,163,1800,0.4822222222222222,0.7529120531922716,2.1518303375622723,20.99480441504092,400.9866579649009,1.0,0.0,1.0,0.0016001112655633027,0.0,0.0,0.3448275862068966,0.40465631929046564,0.6963636363636364
Independent Agents,10,2044,180,163,1800,0.8494444444444444,0.19998202576840104,0.3048593020930602,2.2989947084927693,64.2056536391323,1.0,0.0,4.0,0.007610834307140774,0.0,0.0,0.27873563218390807,0.9778270509977827,1.0
One-Shot LLM,10,2044,180,163,1800,0.8894444444444445,0.36662009493052694,1.9205622856092526,1.4665405285047541,24.231427123304307,1.0,0.0,0.0,0.018341056485142972,760.0,135.0,0.7586206896551724,0.9013303769401331,0.9527272727272728
AAI-CDOS,10,2045,180,160,1800,0.9955555555555555,0.0952165012378931,0.17078669007384575,0.14213602968985617,1.328597345577477,1.008888888888889,0.008888888888888889,6.04,0.009786451183673408,845.3066666666666,85.75555555555556,0.9747634069400631,1.0,1.0
Single Domain,10,2045,180,160,1800,0.4855555555555556,0.7411832372506599,2.1024307223333305,16.648401266304337,300.3466299593453,1.0,0.0,1.0,0.0016357871289882395,0.0,0.0,0.29337539432176657,0.38169642857142855,0.747870528109029
Independent Agents,10,2045,180,160,1800,0.8661111111111112,0.20311954975028967,0.3007778894707307,1.9312865426388741,33.72293325874583,1.0,0.0,4.0,0.007726563037269645,0.0,0.0,0.2807570977917981,0.9854910714285714,1.0
One-Shot LLM,10,2045,180,160,1800,0.8888888888888888,0.3968229135341167,4.328643549262154,1.5547386519897777,16.185580967351623,1.0,0.0,0.0,0.018385674338787794,760.0,135.0,0.7287066246056783,0.9107142857142857,0.9420783645655877
AAI-CDOS,10,2046,180,61,1800,0.9916666666666667,0.10177860225573718,0.18392242727392735,0.18760802304584148,1.4184911213087863,1.0166666666666666,0.016666666666666666,6.075,0.00982020515948534,846.6288888888889,86.41666666666667,0.9603174603174603,1.0,1.0
Single Domain,10,2046,180,61,1800,0.505,0.7205973523245605,2.150218246466128,17.506008336162367,255.9755313649118,1.0,0.0,1.0,0.0016135740507807997,0.0,0.0,0.29894179894179895,0.4387755102040816,0.7574074074074074
Independent Agents,10,2046,180,61,1800,0.8427777777777777,0.20353228694289222,0.31780646697373865,2.2614242338064976,57.83872449827237,1.0,0.0,4.0,0.007619668160461717,0.0,0.0,0.30687830687830686,0.9761904761904762,1.0
One-Shot LLM,10,2046,180,61,1800,0.8755555555555555,0.35963510942770427,1.3913868247467394,1.6438862958399656,38.744240255355024,1.0,0.0,0.0,0.018410612052927416,760.0,135.0,0.6640211640211641,0.9183673469387755,0.9537037037037037
AAI-CDOS,10,2047,180,85,1800,0.9916666666666667,0.10790937034253792,0.19331410547082545,0.20041854706770332,1.6901434420254915,1.0166666666666666,0.016666666666666666,6.075,0.00978532014414668,846.6288888888889,86.41666666666667,0.96,0.9988851727982163,1.0
Single Domain,10,2047,180,85,1800,0.5538888888888889,0.6139158343506058,2.016784967170759,10.565577686865828,206.13870600438827,1.0,0.0,1.0,0.0015955806399385135,0.0,0.0,0.3742857142857143,0.48272017837235226,0.783001808318264
Independent Agents,10,2047,180,85,1800,0.8405555555555555,0.20225394554061238,0.3137304782939748,2.192387517466021,73.94779587590033,1.0,0.0,4.0,0.007699882456411918,0.0,0.0,0.27714285714285714,0.9620958751393534,1.0
One-Shot LLM,10,2047,180,85,1800,0.895,0.34511141800269307,0.7316328913070568,1.3813998243877312,37.71078571903168,1.0,0.0,0.0,0.01840114567635788,760.0,135.0,0.7085714285714285,0.927536231884058,0.9602169981916817
AAI-CDOS,10,2048,180,55,1800,0.99,0.09836761784840746,0.18432484415919304,0.22214563625429704,1.594525109851189,1.02,0.02,6.09,0.009788892801023193,847.1955555555555,86.7,0.9478260869565217,1.0,1.0
Single Domain,10,2048,180,55,1800,0.4822222222222222,0.7305210552671444,2.1502509757097195,18.61649612085291,325.9992433838897,1.0,0.0,1.0,0.001613554906927877,0.0,0.0,0.30144927536231886,0.38212290502793295,0.7535714285714286
Independent Agents,10,2048,180,55,1800,0.8455555555555555,0.2031377742884609,0.3177425884768294,2.2690110459195187,76.03904166368089,1.0,0.0,4.0,0.0076490237067143125,0.0,0.0,0.26666666666666666,0.9720670391061452,1.0
One-Shot LLM,10,2048,180,55,1800,0.8677777777777778,0.4361769284798826,4.368904537683488,1.7972738904568228,53.81139842052659,1.0,0.0,0.0,0.0183535512122843,760.0,135.0,0.6840579710144927,0.8994413407821229,0.9303571428571429
AAI-CDOS,10,2049,180,40,1800,0.995,0.10234051603492443,0.18222509820193902,0.15382705230699295,1.3234633036062806,1.01,0.01,6.045,0.009760063452025255,845.4955555555556,85.85,0.9761904761904762,1.0,1.0
Single Domain,10,2049,180,40,1800,0.5383333333333333,0.6638976943630073,2.078435933261049,10.954220916225182,187.7336191026832,1.0,0.0,1.0,0.0016070700561006863,0.0,0.0,0.34656084656084657,0.4578034682080925,0.7935368043087971
Independent Agents,10,2049,180,40,1800,0.8383333333333334,0.20663588160346485,0.3144723186846987,2.3118357585364873,24.244063739485984,1.0,0.0,4.0,0.0076960971475475365,0.0,0.0,0.2830687830687831,0.976878612716763,1.0
One-Shot LLM,10,2049,180,40,1800,0.8788888888888889,0.33489369865650487,0.8006795559928827,1.6059105522417616,16.68769051801395,1.0,0.0,0.0,0.01843613287847903,760.0,135.0,0.6693121693121693,0.9271676300578034,0.9461400359066428
AAI-CDOS,10,2050,180,31,1800,0.9933333333333333,0.10534220841599416,0.18772144158557894,0.17403528556463138,1.460913251113293,1.0133333333333334,0.013333333333333334,6.06,0.009807663866215281,846.0622222222222,86.13333333333334,0.9669421487603306,1.0,1.0
Single Domain,10,2050,180,31,1800,0.5416666666666666,0.618327348848172,1.6039537579983612,12.937946374987874,203.48547022742713,1.0,0.0,1.0,0.0016030423446661895,0.0,0.0,0.3140495867768595,0.4891922639362912,0.7724014336917563
Independent Agents,10,2050,180,31,1800,0.8316666666666667,0.20663668389116752,0.32288647810826254,2.278454966807122,50.447692985093504,1.0,0.0,4.0,0.007680060807615519,0.0,0.0,0.2369146005509642,0.9704209328782708,1.0
One-Shot LLM,10,2050,180,31,1800,0.8761111111111111,0.3679134047409477,1.7743169526391258,1.7000747736535873,34.62161224898944,1.0,0.0,0.0,0.0197379723087781,760.0,135.0,0.7024793388429752,0.9158134243458476,0.9265232974910395
AAI-CDOS,10,2051,180,184,1800,0.9927777777777778,0.10248759309315494,0.18543136473052466,0.178825846509011,1.5690326386991376,1.0144444444444445,0.014444444444444444,6.065,0.00979575121568309,846.2511111111111,86.22777777777777,0.9668367346938775,1.0,1.0
Single Domain,10,2051,180,184,1800,0.5105555555555555,0.679909465926806,2.071097961327028,18.948918662207888,431.26804689097673,1.0,0.0,1.0,0.001656881326602565,0.0,0.0,0.3622448979591837,0.42255125284738043,0.7660377358490567
Independent Agents,10,2051,180,184,1800,0.8288888888888889,0.2062589951600305,0.3106733332631779,2.573098306136601,57.49811941815697,1.0,0.0,4.0,0.0077577245732148485,0.0,0.0,0.2755102040816326,0.9726651480637813,1.0
One-Shot LLM,10,2051,180,184,1800,0.8727777777777778,0.38921966533031077,3.7480355818793814,1.6973283884994816,30.969791285548165,1.0,0.0,0.0,0.018470461428579357,760.0,135.0,0.6938775510204082,0.9031890660592256,0.9547169811320755
AAI-CDOS,10,2052,180,36,1800,0.9938888888888889,0.10768252669855134,0.1931677082312487,0.18518393245285317,1.5742924883199825,1.0127777777777778,0.012777777777777779,6.057777777777778,0.009804744946046008,845.9677777777778,86.08611111111111,0.9731182795698925,0.9989059080962801,1.0
Single Domain,10,2052,180,36,1800,0.5738888888888889,0.5764847013016337,1.5875589143142215,13.631673585188098,223.8194820136828,1.0,0.0,1.0,0.0016793771646916866,0.0,0.0,0.3736559139784946,0.5229759299781181,0.8093385214007782
Independent Agents,10,2052,180,36,1800,0.8377777777777777,0.20511977915146495,0.3256172775806595,2.434702027035995,59.75195715899415,1.0,0.0,4.0,0.007683953735977411,0.0,0.0,0.29301075268817206,0.9682713347921226,1.0
One-Shot LLM,10,2052,180,36,1800,0.8683333333333333,0.3531406893309127,1.0281584875526102,1.8595073391504195,56.813276548179374,1.0,0.0,0.0,0.01844152368398176,760.0,135.0,0.6586021505376344,0.9146608315098468,0.9377431906614786
